Individual,Age,CSP,iris,Couple,Sexe
954,Moins de 5 ans,null,765400602,null,Hommes
955,10 à 14 ans,null,765400701,null,Hommes
956,70 à 74 ans,Retraités,765401001,Ne vivant pas en couple,Hommes
957,55 à 59 ans,Retraités,765401002,Vivant en couple,Femmes
958,30 à 34 ans,Employés,765400203,Vivant en couple,Hommes
959,60 à 64 ans,Retraités,765400306,Vivant en couple,Femmes
960,20 à 24 ans,Autres personnes sans activité professionnelle,765400503,Ne vivant pas en couple,Hommes
961,55 à 59 ans,Employés,765400103,Vivant en couple,Hommes
962,20 à 24 ans,Employés,765400304,Ne vivant pas en couple,Femmes
963,40 à 44 ans,Professions intermédiaires,765400901,Vivant en couple,Hommes
964,15 à 19 ans,Autres personnes sans activité professionnelle,765400304,Ne vivant pas en couple,Femmes
965,65 à 69 ans,Retraités,765400502,Ne vivant pas en couple,Hommes
966,55 à 59 ans,Professions intermédiaires,765401001,Vivant en couple,Hommes
967,15 à 19 ans,Autres personnes sans activité professionnelle,765400801,Vivant en couple,Hommes
968,20 à 24 ans,Autres personnes sans activité professionnelle,765401002,Ne vivant pas en couple,Femmes
969,20 à 24 ans,Employés,765400306,Ne vivant pas en couple,Femmes
970,Moins de 5 ans,null,765400501,null,Femmes
971,15 à 19 ans,Employés,765400404,Ne vivant pas en couple,Hommes
972,25 à 29 ans,Professions intermédiaires,765400305,Vivant en couple,Femmes
973,60 à 64 ans,Autres personnes sans activité professionnelle,765400202,Ne vivant pas en couple,Hommes
974,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400106,Vivant en couple,Hommes
975,10 à 14 ans,null,765401003,null,Hommes
976,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400304,Vivant en couple,Femmes
977,10 à 14 ans,null,765400306,null,Hommes
978,35 à 39 ans,Employés,765400404,Vivant en couple,Femmes
979,55 à 59 ans,Retraités,765400402,Vivant en couple,Hommes
980,30 à 34 ans,Autres personnes sans activité professionnelle,765400402,Vivant en couple,Femmes
981,60 à 64 ans,Ouvriers,765400304,Vivant en couple,Femmes
982,75 à 79 ans,Retraités,765400402,Vivant en couple,Hommes
983,55 à 59 ans,Autres personnes sans activité professionnelle,765400604,Vivant en couple,Femmes
984,35 à 39 ans,Ouvriers,765400301,Ne vivant pas en couple,Hommes
985,5 à 9 ans,null,765400104,null,Hommes
986,5 à 9 ans,null,765400702,null,Femmes
987,70 à 74 ans,Retraités,765400602,Vivant en couple,Femmes
988,65 à 69 ans,Retraités,765400102,Vivant en couple,Femmes
989,40 à 44 ans,Artisans. commerçants. chefs d'entreprise,765400106,Vivant en couple,Femmes
990,70 à 74 ans,Retraités,765400702,Vivant en couple,Hommes
991,65 à 69 ans,Retraités,765400104,Vivant en couple,Hommes
992,40 à 44 ans,Autres personnes sans activité professionnelle,765401003,Vivant en couple,Hommes
993,25 à 29 ans,Employés,765400106,Vivant en couple,Femmes
994,Moins de 5 ans,null,765400203,null,Femmes
995,55 à 59 ans,Employés,765400203,Vivant en couple,Femmes
996,15 à 19 ans,Autres personnes sans activité professionnelle,765400503,Ne vivant pas en couple,Hommes
997,50 à 54 ans,Professions intermédiaires,765400702,Ne vivant pas en couple,Hommes
998,45 à 49 ans,Cadres et professions intellectuelles supérieures,765401004,Ne vivant pas en couple,Hommes
999,5 à 9 ans,null,765400203,null,Femmes
1000,55 à 59 ans,Autres personnes sans activité professionnelle,765400303,Ne vivant pas en couple,Femmes
1001,10 à 14 ans,null,765400201,null,Hommes
1002,50 à 54 ans,Employés,765400301,Vivant en couple,Hommes
1003,5 à 9 ans,null,765401004,null,Hommes
1004,35 à 39 ans,Ouvriers,765400802,Vivant en couple,Femmes
1005,10 à 14 ans,null,765400106,null,Hommes
1006,35 à 39 ans,Autres personnes sans activité professionnelle,765400105,Ne vivant pas en couple,Hommes
1007,60 à 64 ans,Professions intermédiaires,765400604,Ne vivant pas en couple,Hommes
1008,10 à 14 ans,null,765401001,null,Hommes
1009,40 à 44 ans,Professions intermédiaires,765400306,Ne vivant pas en couple,Femmes
1010,Moins de 5 ans,null,765400404,null,Hommes
1011,5 à 9 ans,null,765401001,null,Hommes
1012,15 à 19 ans,Autres personnes sans activité professionnelle,765400901,Ne vivant pas en couple,Femmes
1013,Moins de 5 ans,null,765400601,null,Femmes
1014,20 à 24 ans,Professions intermédiaires,765400203,Vivant en couple,Hommes
1015,75 à 79 ans,Retraités,765400405,Ne vivant pas en couple,Femmes
1016,45 à 49 ans,Professions intermédiaires,765400305,Vivant en couple,Hommes
1017,70 à 74 ans,Retraités,765400405,Vivant en couple,Hommes
1018,80 à 84 ans,Retraités,765400901,Vivant en couple,Femmes
1019,85 à 89 ans,Retraités,765401003,Ne vivant pas en couple,Femmes
1020,85 à 89 ans,Retraités,765400404,Vivant en couple,Femmes
1021,80 à 84 ans,Retraités,765400601,Ne vivant pas en couple,Hommes
1022,60 à 64 ans,Employés,765401005,Vivant en couple,Femmes
1023,35 à 39 ans,Ouvriers,765400204,Vivant en couple,Hommes
1024,50 à 54 ans,Employés,765400202,Ne vivant pas en couple,Femmes
1025,Moins de 5 ans,null,765400105,null,Hommes
1026,15 à 19 ans,Employés,765400104,Ne vivant pas en couple,Hommes
1027,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400501,Vivant en couple,Hommes
1028,60 à 64 ans,Ouvriers,765401002,Vivant en couple,Hommes
1029,Moins de 5 ans,null,765400305,null,Femmes
1030,60 à 64 ans,Retraités,765401005,Vivant en couple,Hommes
1031,50 à 54 ans,Employés,765400203,Vivant en couple,Hommes
1032,25 à 29 ans,Ouvriers,765400501,Ne vivant pas en couple,Hommes
1033,25 à 29 ans,Ouvriers,765400103,Ne vivant pas en couple,Femmes
1034,45 à 49 ans,Employés,765400401,Vivant en couple,Hommes
1035,90 à 94 ans,Retraités,765400502,Vivant en couple,Femmes
1036,15 à 19 ans,Autres personnes sans activité professionnelle,765400103,Ne vivant pas en couple,Femmes
1037,75 à 79 ans,Retraités,765401004,Ne vivant pas en couple,Hommes
1038,30 à 34 ans,Ouvriers,765401004,Ne vivant pas en couple,Hommes
1039,55 à 59 ans,Retraités,765400306,Vivant en couple,Hommes
1040,10 à 14 ans,null,765400203,null,Hommes
1041,20 à 24 ans,Autres personnes sans activité professionnelle,765400304,Vivant en couple,Femmes
1042,80 à 84 ans,Retraités,765400902,Vivant en couple,Femmes
1043,70 à 74 ans,Retraités,765400602,Vivant en couple,Femmes
1044,30 à 34 ans,Artisans. commerçants. chefs d'entreprise,765401005,Ne vivant pas en couple,Hommes
1045,10 à 14 ans,null,765400303,null,Femmes
1046,Moins de 5 ans,null,765400404,null,Hommes
1047,10 à 14 ans,null,765400902,null,Femmes
1048,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400305,Vivant en couple,Hommes
1049,10 à 14 ans,null,765401002,null,Hommes
1050,30 à 34 ans,Employés,765401004,Ne vivant pas en couple,Femmes
1051,85 à 89 ans,Retraités,765400404,Ne vivant pas en couple,Femmes
1052,45 à 49 ans,Ouvriers,765400404,Ne vivant pas en couple,Hommes
1053,20 à 24 ans,Employés,765400101,Ne vivant pas en couple,Femmes
1054,80 à 84 ans,Retraités,765401003,Vivant en couple,Femmes
1055,5 à 9 ans,null,765400702,null,Hommes
1056,70 à 74 ans,Retraités,765401001,Ne vivant pas en couple,Hommes
1057,25 à 29 ans,Ouvriers,765400103,Vivant en couple,Hommes
1058,10 à 14 ans,null,765400202,null,Femmes
1059,75 à 79 ans,Retraités,765400101,Vivant en couple,Femmes
1060,65 à 69 ans,Retraités,765401003,Vivant en couple,Hommes
1061,15 à 19 ans,Autres personnes sans activité professionnelle,765400203,Ne vivant pas en couple,Femmes
1062,10 à 14 ans,null,765400102,null,Femmes
1063,60 à 64 ans,Professions intermédiaires,765400503,Vivant en couple,Hommes
1064,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400201,Ne vivant pas en couple,Hommes
1065,25 à 29 ans,Ouvriers,765400405,Vivant en couple,Hommes
1066,40 à 44 ans,Autres personnes sans activité professionnelle,765401003,Vivant en couple,Femmes
1067,40 à 44 ans,Ouvriers,765400103,Ne vivant pas en couple,Hommes
1068,15 à 19 ans,Ouvriers,765400104,Ne vivant pas en couple,Hommes
1069,40 à 44 ans,Ouvriers,765400202,Vivant en couple,Hommes
1070,45 à 49 ans,Professions intermédiaires,765400203,Vivant en couple,Hommes
1071,25 à 29 ans,Ouvriers,765400701,Vivant en couple,Hommes
1072,20 à 24 ans,Autres personnes sans activité professionnelle,765400203,Ne vivant pas en couple,Femmes
1073,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400801,Vivant en couple,Hommes
1074,20 à 24 ans,Autres personnes sans activité professionnelle,765401005,Ne vivant pas en couple,Femmes
1075,45 à 49 ans,Employés,765400902,Vivant en couple,Hommes
1076,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400303,Vivant en couple,Hommes
1077,55 à 59 ans,Autres personnes sans activité professionnelle,765400403,Vivant en couple,Hommes
1078,40 à 44 ans,Ouvriers,765400304,Vivant en couple,Hommes
1079,30 à 34 ans,Employés,765400204,Vivant en couple,Femmes
1080,15 à 19 ans,Autres personnes sans activité professionnelle,765401005,Vivant en couple,Femmes
1081,70 à 74 ans,Retraités,765400101,Vivant en couple,Femmes
1082,45 à 49 ans,Ouvriers,765400603,Vivant en couple,Hommes
1083,25 à 29 ans,Cadres et professions intellectuelles supérieures,765400403,Ne vivant pas en couple,Femmes
1084,40 à 44 ans,Employés,765400102,Ne vivant pas en couple,Femmes
1085,5 à 9 ans,null,765401001,null,Hommes
1086,10 à 14 ans,null,765400901,null,Hommes
1087,45 à 49 ans,Professions intermédiaires,765400901,Vivant en couple,Hommes
1088,65 à 69 ans,Retraités,765401004,Vivant en couple,Hommes
1089,90 à 94 ans,Retraités,765400901,Ne vivant pas en couple,Femmes
1090,15 à 19 ans,Autres personnes sans activité professionnelle,765400301,Ne vivant pas en couple,Hommes
1091,55 à 59 ans,Employés,765400602,Ne vivant pas en couple,Femmes
1092,50 à 54 ans,Artisans. commerçants. chefs d'entreprise,765400801,Vivant en couple,Femmes
1093,55 à 59 ans,Autres personnes sans activité professionnelle,765400306,Ne vivant pas en couple,Femmes
1094,60 à 64 ans,Artisans. commerçants. chefs d'entreprise,765401004,Vivant en couple,Hommes
1095,75 à 79 ans,Retraités,765400106,Vivant en couple,Femmes
1096,15 à 19 ans,Autres personnes sans activité professionnelle,765400405,Ne vivant pas en couple,Hommes
1097,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400305,Vivant en couple,Hommes
1098,10 à 14 ans,null,765400102,null,Femmes
1099,10 à 14 ans,null,765401002,null,Hommes
1100,50 à 54 ans,Professions intermédiaires,765401003,Vivant en couple,Femmes
1101,20 à 24 ans,Employés,765400602,Ne vivant pas en couple,Hommes
1102,45 à 49 ans,Professions intermédiaires,765400202,Vivant en couple,Hommes
1103,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400405,Vivant en couple,Femmes
1104,25 à 29 ans,Ouvriers,765401001,Vivant en couple,Hommes
1105,15 à 19 ans,Autres personnes sans activité professionnelle,765401005,Ne vivant pas en couple,Femmes
1106,20 à 24 ans,Employés,765400304,Ne vivant pas en couple,Femmes
1107,40 à 44 ans,Employés,765400203,Vivant en couple,Femmes
1108,30 à 34 ans,Professions intermédiaires,765400404,Vivant en couple,Femmes
1109,35 à 39 ans,Professions intermédiaires,765400201,Vivant en couple,Hommes
1110,25 à 29 ans,Employés,765400201,Vivant en couple,Femmes
1111,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400202,Vivant en couple,Femmes
1112,30 à 34 ans,Ouvriers,765400503,Vivant en couple,Hommes
1113,70 à 74 ans,Retraités,765400501,Vivant en couple,Hommes
1114,85 à 89 ans,Retraités,765400501,Ne vivant pas en couple,Femmes
1115,65 à 69 ans,Retraités,765400304,Vivant en couple,Hommes
1116,15 à 19 ans,Autres personnes sans activité professionnelle,765400601,Ne vivant pas en couple,Femmes
1117,40 à 44 ans,Ouvriers,765400104,Ne vivant pas en couple,Hommes
1118,15 à 19 ans,Autres personnes sans activité professionnelle,765401002,Ne vivant pas en couple,Femmes
1119,45 à 49 ans,Ouvriers,765400501,Vivant en couple,Hommes
1120,60 à 64 ans,Retraités,765400303,Vivant en couple,Hommes
1121,50 à 54 ans,Ouvriers,765400303,Vivant en couple,Hommes
1122,45 à 49 ans,Employés,765401001,Vivant en couple,Femmes
1123,55 à 59 ans,Autres personnes sans activité professionnelle,765401005,Vivant en couple,Femmes
1124,15 à 19 ans,Autres personnes sans activité professionnelle,765400603,Ne vivant pas en couple,Femmes
1125,20 à 24 ans,Autres personnes sans activité professionnelle,765400201,Ne vivant pas en couple,Hommes
1126,50 à 54 ans,Employés,765401003,Vivant en couple,Femmes
1127,45 à 49 ans,Ouvriers,765400902,Vivant en couple,Hommes
1128,60 à 64 ans,Retraités,765400901,Vivant en couple,Femmes
1129,35 à 39 ans,Professions intermédiaires,765400602,Vivant en couple,Femmes
1130,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400504,Vivant en couple,Hommes
1131,55 à 59 ans,Retraités,765400501,Ne vivant pas en couple,Hommes
1132,70 à 74 ans,Retraités,765400203,Vivant en couple,Femmes
1133,30 à 34 ans,Professions intermédiaires,765400504,Vivant en couple,Femmes
1134,20 à 24 ans,Autres personnes sans activité professionnelle,765400201,Vivant en couple,Hommes
1135,75 à 79 ans,Retraités,765400204,Vivant en couple,Femmes
1136,35 à 39 ans,Employés,765400103,Vivant en couple,Femmes
1137,50 à 54 ans,Employés,765400101,Ne vivant pas en couple,Femmes
1138,60 à 64 ans,Retraités,765400105,Vivant en couple,Femmes
1139,55 à 59 ans,Retraités,765400901,Ne vivant pas en couple,Hommes
1140,50 à 54 ans,Ouvriers,765400102,Vivant en couple,Hommes
1141,90 à 94 ans,Retraités,765401004,Vivant en couple,Femmes
1142,5 à 9 ans,null,765400306,null,Femmes
1143,65 à 69 ans,Retraités,765400201,Vivant en couple,Hommes
1144,20 à 24 ans,Ouvriers,765400303,Ne vivant pas en couple,Femmes
1145,10 à 14 ans,null,765400404,null,Hommes
1146,Moins de 5 ans,null,765400405,null,Femmes
1147,20 à 24 ans,Ouvriers,765400504,Ne vivant pas en couple,Hommes
1148,60 à 64 ans,Autres personnes sans activité professionnelle,765400305,Ne vivant pas en couple,Femmes
1149,55 à 59 ans,Artisans. commerçants. chefs d'entreprise,765400501,Vivant en couple,Femmes
1150,35 à 39 ans,Professions intermédiaires,765401005,Vivant en couple,Femmes
1151,45 à 49 ans,Professions intermédiaires,765401005,Vivant en couple,Hommes
1152,30 à 34 ans,Ouvriers,765401003,Vivant en couple,Hommes
1153,60 à 64 ans,Ouvriers,765400202,Vivant en couple,Hommes
1154,25 à 29 ans,Professions intermédiaires,765400402,Ne vivant pas en couple,Femmes
1155,75 à 79 ans,Retraités,765400901,Vivant en couple,Hommes
1156,30 à 34 ans,Employés,765400304,Vivant en couple,Femmes
1157,Moins de 5 ans,null,765401003,null,Femmes
1158,15 à 19 ans,Autres personnes sans activité professionnelle,765400306,Ne vivant pas en couple,Hommes
1159,60 à 64 ans,Employés,765400801,Vivant en couple,Femmes
1160,10 à 14 ans,null,765400203,null,Femmes
1161,20 à 24 ans,Autres personnes sans activité professionnelle,765400101,Ne vivant pas en couple,Hommes
1162,55 à 59 ans,Retraités,765400801,Ne vivant pas en couple,Femmes
1163,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400902,Vivant en couple,Femmes
1164,Moins de 5 ans,null,765400201,null,Femmes
1165,25 à 29 ans,Employés,765400304,Ne vivant pas en couple,Femmes
1166,45 à 49 ans,Professions intermédiaires,765400305,Vivant en couple,Hommes
1167,35 à 39 ans,Professions intermédiaires,765401005,Vivant en couple,Femmes
1168,15 à 19 ans,Autres personnes sans activité professionnelle,765400502,Ne vivant pas en couple,Femmes
1169,70 à 74 ans,Retraités,765401003,Vivant en couple,Hommes
1170,20 à 24 ans,Cadres et professions intellectuelles supérieures,765400501,Ne vivant pas en couple,Femmes
1171,60 à 64 ans,Retraités,765400901,Vivant en couple,Hommes
1172,30 à 34 ans,Professions intermédiaires,765401001,Ne vivant pas en couple,Femmes
1173,70 à 74 ans,Retraités,765400104,Vivant en couple,Hommes
1174,10 à 14 ans,null,765400204,null,Hommes
1175,45 à 49 ans,Ouvriers,765400404,Ne vivant pas en couple,Hommes
1176,20 à 24 ans,Autres personnes sans activité professionnelle,765400304,Vivant en couple,Hommes
1177,10 à 14 ans,null,765400103,null,Femmes
1178,60 à 64 ans,Autres personnes sans activité professionnelle,765400602,Vivant en couple,Hommes
1179,70 à 74 ans,Retraités,765400104,Ne vivant pas en couple,Femmes
1180,20 à 24 ans,Professions intermédiaires,765400104,Vivant en couple,Femmes
1181,90 à 94 ans,Retraités,765400702,Vivant en couple,Femmes
1182,Moins de 5 ans,null,765400304,null,Hommes
1183,40 à 44 ans,Ouvriers,765400202,Vivant en couple,Hommes
1184,25 à 29 ans,Ouvriers,765400202,Ne vivant pas en couple,Hommes
1185,45 à 49 ans,Employés,765400403,Vivant en couple,Femmes
1186,60 à 64 ans,Retraités,765400801,Vivant en couple,Femmes
1187,35 à 39 ans,Ouvriers,765400601,Vivant en couple,Hommes
1188,15 à 19 ans,Autres personnes sans activité professionnelle,765400103,Ne vivant pas en couple,Femmes
1189,15 à 19 ans,Autres personnes sans activité professionnelle,765400101,Ne vivant pas en couple,Femmes
1190,40 à 44 ans,Professions intermédiaires,765400404,Vivant en couple,Hommes
1191,Moins de 5 ans,null,765400402,null,Femmes
1192,30 à 34 ans,Professions intermédiaires,765400304,Vivant en couple,Femmes
1193,40 à 44 ans,Employés,765400503,Vivant en couple,Femmes
1194,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400601,Ne vivant pas en couple,Hommes
1195,10 à 14 ans,null,765401003,null,Femmes
1196,50 à 54 ans,Ouvriers,765400306,Vivant en couple,Femmes
1197,15 à 19 ans,Autres personnes sans activité professionnelle,765400502,Vivant en couple,Hommes
1198,5 à 9 ans,null,765400501,null,Hommes
1199,30 à 34 ans,Professions intermédiaires,765400203,Ne vivant pas en couple,Femmes
1200,40 à 44 ans,Autres personnes sans activité professionnelle,765400802,Vivant en couple,Femmes
1201,70 à 74 ans,Retraités,765400301,Vivant en couple,Hommes
1202,75 à 79 ans,Autres personnes sans activité professionnelle,765400502,Vivant en couple,Femmes
1203,70 à 74 ans,Retraités,765400404,Vivant en couple,Femmes
1204,Moins de 5 ans,null,765400502,null,Hommes
1205,40 à 44 ans,Employés,765400305,Vivant en couple,Femmes
1206,Moins de 5 ans,null,765400502,null,Femmes
1207,45 à 49 ans,Cadres et professions intellectuelles supérieures,765401002,Ne vivant pas en couple,Hommes
1208,60 à 64 ans,Professions intermédiaires,765400103,Ne vivant pas en couple,Hommes
1209,10 à 14 ans,null,765400203,null,Hommes
1210,Moins de 5 ans,null,765400306,null,Hommes
1211,15 à 19 ans,Autres personnes sans activité professionnelle,765400104,Ne vivant pas en couple,Hommes
1212,30 à 34 ans,Employés,765400901,Vivant en couple,Femmes
1213,45 à 49 ans,Ouvriers,765400305,Vivant en couple,Hommes
1214,70 à 74 ans,Retraités,765400902,Vivant en couple,Femmes
1215,65 à 69 ans,Retraités,765401003,Vivant en couple,Hommes
1216,15 à 19 ans,Autres personnes sans activité professionnelle,765400405,Ne vivant pas en couple,Hommes
1217,30 à 34 ans,Professions intermédiaires,765400404,Vivant en couple,Femmes
1218,30 à 34 ans,Employés,765400103,Ne vivant pas en couple,Femmes
1219,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400702,Ne vivant pas en couple,Hommes
1220,75 à 79 ans,Retraités,765401001,Vivant en couple,Femmes
1221,40 à 44 ans,Employés,765400101,Ne vivant pas en couple,Hommes
1222,65 à 69 ans,Retraités,765400702,Vivant en couple,Femmes
1223,30 à 34 ans,Professions intermédiaires,765400106,Vivant en couple,Femmes
1224,75 à 79 ans,Retraités,765400303,Vivant en couple,Femmes
1225,30 à 34 ans,Ouvriers,765400902,Vivant en couple,Hommes
1226,15 à 19 ans,Autres personnes sans activité professionnelle,765400601,Ne vivant pas en couple,Hommes
1227,15 à 19 ans,Autres personnes sans activité professionnelle,765400204,Ne vivant pas en couple,Femmes
1228,25 à 29 ans,Ouvriers,765400102,Ne vivant pas en couple,Hommes
1229,50 à 54 ans,Professions intermédiaires,765400601,Vivant en couple,Hommes
1230,55 à 59 ans,Employés,765400201,Vivant en couple,Hommes
1231,75 à 79 ans,Retraités,765400103,Vivant en couple,Hommes
1232,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400203,Ne vivant pas en couple,Femmes
1233,35 à 39 ans,Employés,765400303,Ne vivant pas en couple,Femmes
1234,30 à 34 ans,Professions intermédiaires,765400402,Ne vivant pas en couple,Hommes
1235,40 à 44 ans,Professions intermédiaires,765400202,Vivant en couple,Femmes
1236,25 à 29 ans,Ouvriers,765400504,Ne vivant pas en couple,Hommes
1237,25 à 29 ans,Autres personnes sans activité professionnelle,765400701,Vivant en couple,Femmes
1238,10 à 14 ans,null,765400304,null,Femmes
1239,45 à 49 ans,Professions intermédiaires,765400802,Vivant en couple,Femmes
1240,25 à 29 ans,Ouvriers,765400106,Vivant en couple,Femmes
1241,65 à 69 ans,Retraités,765400504,Vivant en couple,Hommes
1242,25 à 29 ans,Artisans. commerçants. chefs d'entreprise,765401005,Ne vivant pas en couple,Hommes
1243,30 à 34 ans,Ouvriers,765400402,Vivant en couple,Hommes
1244,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400401,Vivant en couple,Hommes
1245,10 à 14 ans,null,765400202,null,Femmes
1246,10 à 14 ans,null,765400102,null,Hommes
1247,60 à 64 ans,Retraités,765401005,Vivant en couple,Hommes
1248,55 à 59 ans,Retraités,765401002,Vivant en couple,Hommes
1249,30 à 34 ans,Professions intermédiaires,765400901,Vivant en couple,Femmes
1250,30 à 34 ans,Artisans. commerçants. chefs d'entreprise,765400304,Ne vivant pas en couple,Hommes
1251,30 à 34 ans,Ouvriers,765400902,Vivant en couple,Hommes
1252,20 à 24 ans,Ouvriers,765401003,Ne vivant pas en couple,Hommes
1253,30 à 34 ans,Professions intermédiaires,765400402,Ne vivant pas en couple,Femmes
1254,45 à 49 ans,Employés,765400303,Ne vivant pas en couple,Femmes
1255,10 à 14 ans,null,765400405,null,Hommes
1256,10 à 14 ans,null,765400901,null,Femmes
1257,20 à 24 ans,Ouvriers,765400802,Ne vivant pas en couple,Hommes
1258,70 à 74 ans,Retraités,765400701,Vivant en couple,Femmes
1259,55 à 59 ans,Artisans. commerçants. chefs d'entreprise,765400602,Vivant en couple,Hommes
1260,65 à 69 ans,Retraités,765401003,Vivant en couple,Femmes
1261,5 à 9 ans,null,765400104,null,Hommes
1262,65 à 69 ans,Retraités,765400404,Ne vivant pas en couple,Femmes
1263,5 à 9 ans,null,765401003,null,Hommes
1264,5 à 9 ans,null,765401002,null,Femmes
1265,45 à 49 ans,Professions intermédiaires,765400801,Vivant en couple,Hommes
1266,60 à 64 ans,Employés,765400303,Vivant en couple,Femmes
1267,75 à 79 ans,Retraités,765400404,Vivant en couple,Hommes
1268,70 à 74 ans,Retraités,765401003,Vivant en couple,Hommes
1269,5 à 9 ans,null,765400303,null,Hommes
1270,80 à 84 ans,Retraités,765400404,Vivant en couple,Hommes
1271,80 à 84 ans,Retraités,765400602,Ne vivant pas en couple,Femmes
1272,45 à 49 ans,Employés,765400901,Vivant en couple,Femmes
1273,30 à 34 ans,Employés,765400306,Vivant en couple,Femmes
1274,80 à 84 ans,Retraités,765400105,Vivant en couple,Femmes
1275,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400305,Vivant en couple,Femmes
1276,Moins de 5 ans,null,765400201,null,Hommes
1277,70 à 74 ans,Retraités,765400503,Vivant en couple,Femmes
1278,25 à 29 ans,Professions intermédiaires,765400801,Vivant en couple,Hommes
1279,70 à 74 ans,Retraités,765400802,Vivant en couple,Femmes
1280,55 à 59 ans,Ouvriers,765400604,Vivant en couple,Hommes
1281,20 à 24 ans,Autres personnes sans activité professionnelle,765400103,Ne vivant pas en couple,Femmes
1282,65 à 69 ans,Retraités,765400306,Vivant en couple,Hommes
1283,55 à 59 ans,Autres personnes sans activité professionnelle,765400304,Ne vivant pas en couple,Hommes
1284,55 à 59 ans,Retraités,765400202,Vivant en couple,Hommes
1285,20 à 24 ans,Professions intermédiaires,765400602,Ne vivant pas en couple,Femmes
1286,20 à 24 ans,Employés,765400902,Ne vivant pas en couple,Femmes
1287,70 à 74 ans,Retraités,765400604,Vivant en couple,Hommes
1288,70 à 74 ans,Retraités,765400504,Vivant en couple,Hommes
1289,55 à 59 ans,Employés,765401002,Ne vivant pas en couple,Femmes
1290,50 à 54 ans,Autres personnes sans activité professionnelle,765400504,Vivant en couple,Femmes
1291,50 à 54 ans,Professions intermédiaires,765400402,Ne vivant pas en couple,Femmes
1292,5 à 9 ans,null,765401002,null,Hommes
1293,5 à 9 ans,null,765400802,null,Hommes
1294,Moins de 5 ans,null,765400502,null,Femmes
1295,30 à 34 ans,Employés,765400604,Vivant en couple,Hommes
1296,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400201,Vivant en couple,Hommes
1297,Moins de 5 ans,null,765400105,null,Hommes
1298,25 à 29 ans,Employés,765400102,Vivant en couple,Femmes
1299,80 à 84 ans,Retraités,765400303,Ne vivant pas en couple,Femmes
1300,45 à 49 ans,Ouvriers,765400102,Vivant en couple,Hommes
1301,75 à 79 ans,Retraités,765400204,Ne vivant pas en couple,Femmes
1302,Moins de 5 ans,null,765400404,null,Femmes
1303,45 à 49 ans,Professions intermédiaires,765400204,Vivant en couple,Femmes
1304,40 à 44 ans,Professions intermédiaires,765400306,Vivant en couple,Femmes
1305,25 à 29 ans,Professions intermédiaires,765400901,Vivant en couple,Femmes
1306,5 à 9 ans,null,765401002,null,Femmes
1307,20 à 24 ans,Ouvriers,765400102,Vivant en couple,Hommes
1308,65 à 69 ans,Retraités,765400305,Vivant en couple,Femmes
1309,85 à 89 ans,Retraités,765400106,Ne vivant pas en couple,Femmes
1310,30 à 34 ans,Professions intermédiaires,765400101,Ne vivant pas en couple,Femmes
1311,40 à 44 ans,Professions intermédiaires,765401005,Vivant en couple,Hommes
1312,40 à 44 ans,Employés,765400404,Vivant en couple,Femmes
1313,55 à 59 ans,Retraités,765401004,Ne vivant pas en couple,Hommes
1314,80 à 84 ans,Retraités,765401005,Vivant en couple,Hommes
1315,25 à 29 ans,Professions intermédiaires,765400306,Ne vivant pas en couple,Hommes
1316,5 à 9 ans,null,765400404,null,Femmes
1317,10 à 14 ans,null,765400102,null,Hommes
1318,5 à 9 ans,null,765400103,null,Hommes
1319,5 à 9 ans,null,765400902,null,Femmes
1320,45 à 49 ans,Ouvriers,765400902,Ne vivant pas en couple,Hommes
1321,15 à 19 ans,Autres personnes sans activité professionnelle,765400103,Ne vivant pas en couple,Femmes
1322,80 à 84 ans,Retraités,765400601,Ne vivant pas en couple,Femmes
1323,15 à 19 ans,Autres personnes sans activité professionnelle,765400402,Ne vivant pas en couple,Hommes
1324,55 à 59 ans,Retraités,765400203,Vivant en couple,Hommes
1325,50 à 54 ans,Cadres et professions intellectuelles supérieures,765401002,Vivant en couple,Hommes
1326,55 à 59 ans,Professions intermédiaires,765400402,Ne vivant pas en couple,Femmes
1327,15 à 19 ans,Autres personnes sans activité professionnelle,765400504,Ne vivant pas en couple,Hommes
1328,15 à 19 ans,Autres personnes sans activité professionnelle,765401005,Ne vivant pas en couple,Hommes
1329,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400301,Vivant en couple,Hommes
1330,5 à 9 ans,null,765401003,null,Hommes
