Opinion Option;anthropological;health;ethical;environmental;nutritional
Flexitarian;3;3;3;3;3
Omnivorous;4;4;2;4;4
Flexitarian;4;2;2;3;4
Omnivorous;3;2;4;4;4
Omnivorous;3;2;4;4;4
Omnivorous;3;3;4;3;4
Flexitarian;4;4;4;4;4
Flexitarian;4;2;3;3;4
Omnivorous;1;1;4;5;3
Omnivorous;4;3;4;3;3
Vegetarian;2;1;5;5;4
Omnivorous;3;4;5;4;3
Omnivorous;3;3;1;3;5
Omnivorous;3;3;3;3;3
Flexitarian;2;4;4;3;3
Flexitarian;4;2;5;5;2
Omnivorous;1;2;5;5;2
Omnivorous;5;4;2;4;4
Omnivorous;5;5;3;4;5
Flexitarian;3;4;5;4;1
Vegan;1;1;5;5;1
Omnivorous;5;3;2;3;5
Flexitarian;4;3;1;2;4
Flexitarian;4;4;3;4;4
Flexitarian;4;2;3;4;5
Flexitarian;3;2;2;4;4
Omnivorous;4;4;2;2;4
Omnivorous;4;4;2;2;4
Flexitarian;2;5;4;4;3
Omnivorous;4;4;4;2;5
Flexitarian;4;1;3;2;4
Omnivorous;3;3;3;3;3
Flexitarian;4;4;5;5;4
Omnivorous;5;5;2;3;5
Omnivorous;4;4;5;4;5
Omnivorous;4;4;5;4;5
Omnivorous;4;4;5;5;2
Omnivorous;5;4;1;3;3
Flexitarian;3;4;2;2;3
Flexitarian;5;2;1;3;4
Flexitarian;4;3;3;3;3
Flexitarian;4;3;3;3;3
Flexitarian;4;3;3;3;3
Flexitarian;4;3;3;3;3
Flexitarian;4;2;3;3;3
Omnivorous;5;4;1;4;4
Omnivorous;4;2;2;4;4
Omnivorous;4;3;4;1;3
Flexitarian;5;4;3;1;5
Omnivorous;4;3;3;4;4
Flexitarian;4;2;5;4;4
Omnivorous;4;3;3;4;4
Flexitarian;3;5;3;2;3
Flexitarian;3;5;3;2;3
Omnivorous;3;4;2;3;4
Flexitarian;4;3;3;2;4
Flexitarian;3;2;3;3;3
Flexitarian;3;2;3;3;3
Flexitarian;5;2;1;3;4
Omnivorous;4;2;4;5;3
Flexitarian;3;3;2;3;3
Flexitarian;2;2;5;5;2
Omnivorous;4;3;3;4;5
Flexitarian;2;2;5;5;2
Omnivorous;3;2;1;2;4
Flexitarian;4;3;1;2;4
Omnivorous;4;3;2;4;4
Flexitarian;2;4;4;3;4
Flexitarian;5;4;4;3;5
Flexitarian;2;3;4;4;3
Flexitarian;3;1;4;4;4
Flexitarian;2;3;4;4;5
Flexitarian;5;4;5;4;5
Omnivorous;1;4;1;3;5
Omnivorous;5;5;3;2;5
Flexitarian;4;2;5;4;2
Omnivorous;4;3;2;2;2
Flexitarian;3;1;1;4;4
Flexitarian;4;4;4;4;4
Omnivorous;5;4;1;1;5
Vegetarian;3;1;2;4;3
Flexitarian;3;2;2;3;3
Flexitarian;5;2;5;5;4
Flexitarian;5;1;4;5;4
Flexitarian;4;4;1;3;5
Omnivorous;5;5;1;1;5
Flexitarian;3;3;3;3;3
Flexitarian;3;2;4;4;5
Omnivorous;2;4;3;3;2
Flexitarian;4;3;2;3;5
Omnivorous;4;4;3;4;4
Flexitarian;5;4;3;3;5
Vegan;1;1;3;5;4
Flexitarian;4;4;2;3;4
Omnivorous;2;4;3;1;5
Flexitarian;1;5;4;3;3
Flexitarian;3;3;3;5;3
Omnivorous;5;4;4;4;5
Flexitarian;4;5;1;2;4
Omnivorous;4;3;3;3;4
Flexitarian;5;4;3;3;5
Omnivorous;4;4;2;4;1
Omnivorous;4;3;3;1;5
Flexitarian;4;3;2;2;4
Omnivorous;4;4;3;4;4
Omnivorous;4;4;3;3;4
Flexitarian;1;5;2;3;2
Vegetarian;1;2;5;5;4
Flexitarian;2;1;3;5;4
Flexitarian;4;3;2;2;4
Flexitarian;4;3;2;2;4
Omnivorous;4;5;4;4;3
Omnivorous;4;5;3;3;5
Flexitarian;4;4;3;4;4
Flexitarian;2;4;3;4;3
Omnivorous;4;5;2;2;4
Flexitarian;4;4;4;4;4
Flexitarian;5;3;1;2;5
Flexitarian;5;3;1;2;5
Vegetarian;3;2;5;5;3
Flexitarian;4;2;5;4;4
Flexitarian;5;3;1;1;5
Flexitarian;4;4;5;4;3
Omnivorous;5;4;3;4;2
Omnivorous;5;5;5;4;5
Flexitarian;4;4;4;5;4
Omnivorous;4;4;1;2;5
Omnivorous;5;5;3;3;4
Flexitarian;3;1;5;5;4
Omnivorous;1;2;4;5;2
Vegetarian;2;2;5;5;1
Omnivorous;4;1;4;3;3
Omnivorous;5;3;3;3;4
Flexitarian;1;1;5;3;4
Flexitarian;4;4;1;2;4
Omnivorous;5;3;2;2;5
Flexitarian;5;3;1;3;4
Flexitarian;5;3;5;4;2
Flexitarian;4;4;5;4;2
Flexitarian;2;4;1;4;4
Omnivorous;5;4;1;4;5
Omnivorous;3;4;3;2;5
Omnivorous;3;4;3;2;5
Vegan;1;1;5;5;1
Flexitarian;4;3;4;3;3
Flexitarian;5;4;4;4;5
Vegetarian;1;2;5;5;1
Flexitarian;3;1;4;4;3
Flexitarian;2;1;4;5;4
Flexitarian;3;1;4;5;3
Vegetarian;2;1;5;4;4
Flexitarian;4;3;3;4;2
Flexitarian;5;4;3;3;3
Omnivorous;3;4;3;3;3
Flexitarian;3;2;2;3;4
Flexitarian;1;1;4;5;3
Omnivorous;4;4;5;4;5
Omnivorous;4;3;3;3;4
Flexitarian;4;3;4;4;4
Flexitarian;4;3;2;4;4
Flexitarian;3;4;1;4;3
Vegetarian;2;4;3;2;2
Flexitarian;4;5;3;2;3
Omnivorous;3;4;4;4;4
Vegan;1;1;5;5;1
Omnivorous;3;4;2;3;3
Omnivorous;5;5;3;4;3
Flexitarian;4;4;5;4;4
Vegetarian;3;5;3;3;3
Flexitarian;4;1;2;5;3
Omnivorous;5;3;1;1;3
Omnivorous;5;3;1;3;5
Omnivorous;3;3;3;3;3
Omnivorous;1;4;1;1;4
Vegetarian;4;2;4;5;4
Vegetarian;4;2;4;2;3
Flexitarian;4;3;1;1;1
Vegetarian;4;4;4;4;2
Omnivorous;4;3;1;3;5
Vegetarian;3;4;3;4;3
Flexitarian;4;4;5;5;3
Flexitarian;3;2;4;4;1
Omnivorous;4;4;4;3;2
Omnivorous;3;3;1;3;4
Omnivorous;5;4;5;4;5
Omnivorous;2;4;2;4;4
Flexitarian;4;2;4;4;1
Omnivorous;5;4;3;3;4
Omnivorous;5;4;3;3;4
Flexitarian;3;2;3;4;4
Omnivorous;5;3;1;3;5
Flexitarian;4;3;4;4;3
Omnivorous;3;3;3;4;4
Omnivorous;5;3;1;1;5
Vegan;1;1;5;5;1
Omnivorous;5;4;2;1;2
Flexitarian;3;4;3;4;3
Flexitarian;4;3;4;4;3
Vegetarian;4;1;3;5;1
Vegetarian;3;1;5;4;3
Flexitarian;4;4;5;5;4
Flexitarian;1;3;3;2;2
Vegetarian;1;4;5;3;1
Flexitarian;4;4;5;5;3
Omnivorous;5;4;2;2;4
Flexitarian;3;4;2;2;4
Flexitarian;5;5;1;4;3
Omnivorous;5;4;3;3;5
Flexitarian;5;4;5;2;5
Flexitarian;5;4;5;2;5
Omnivorous;5;4;3;3;5
Omnivorous;4;4;3;4;5
Omnivorous;5;2;1;3;4
Omnivorous;5;4;2;4;5
Omnivorous;4;3;1;3;5
Omnivorous;4;3;2;4;4
Omnivorous;5;2;3;1;3
Omnivorous;5;4;3;3;4
Vegetarian;3;2;2;4;2
Omnivorous;3;4;2;4;3
Flexitarian;5;4;5;5;3
Omnivorous;4;3;3;3;4
Flexitarian;2;1;5;5;4
Flexitarian;2;1;5;4;4
Flexitarian;3;1;5;4;4
Vegetarian;1;1;2;5;4
Omnivorous;2;2;1;2;4
Omnivorous;4;4;4;4;4
Flexitarian;1;3;3;3;3
Omnivorous;4;2;1;4;4
Omnivorous;5;4;1;3;5
Flexitarian;3;2;1;5;3
Flexitarian;4;5;4;2;4
Flexitarian;4;5;5;2;4
Vegetarian;2;1;2;5;3
Omnivorous;4;3;4;3;4
Omnivorous;5;5;3;3;5
Omnivorous;4;2;1;4;5
Omnivorous;5;3;3;3;3
Vegetarian;5;4;3;5;5
Omnivorous;4;5;3;5;5
Flexitarian;3;4;4;5;2
Omnivorous;4;2;2;5;3
Flexitarian;2;1;3;5;3
Vegetarian;4;2;4;4;2
Omnivorous;4;2;2;4;4
Flexitarian;5;2;5;5;2
Vegetarian;3;2;4;4;3
Flexitarian;4;2;4;4;4
Flexitarian;4;2;4;4;2
Flexitarian;4;4;4;4;3
Flexitarian;3;3;4;4;3
Flexitarian;3;2;3;4;4
Omnivorous;4;4;3;4;5
Vegan;1;5;2;4;4
Omnivorous;4;4;2;4;5
Omnivorous;5;3;3;5;5
Flexitarian;3;2;4;4;5
Flexitarian;3;2;4;4;5
Omnivorous;4;3;5;5;2
Flexitarian;4;4;4;5;2
Omnivorous;4;4;5;4;4
Omnivorous;3;4;3;4;4
Omnivorous;3;4;1;1;1
Omnivorous;5;3;2;3;5
Omnivorous;5;3;3;3;4
Flexitarian;2;4;2;4;4
Omnivorous;5;3;2;2;5
Omnivorous;5;3;2;2;2
Omnivorous;4;4;4;4;4
Flexitarian;3;3;5;5;2
Flexitarian;4;4;3;5;4
Flexitarian;5;4;4;1;5
Flexitarian;4;4;4;4;4
Flexitarian;4;1;2;4;4
Omnivorous;4;5;2;3;4
Omnivorous;4;4;3;2;3
Vegetarian;5;4;3;3;5
Omnivorous;4;4;3;2;4
Flexitarian;2;1;5;5;4
Vegetarian;4;1;5;5;4
Omnivorous;4;2;1;1;4
Omnivorous;4;3;5;1;4
Flexitarian;4;3;3;2;4
Flexitarian;5;4;1;4;4
Flexitarian;2;3;4;4;3
Omnivorous;4;4;3;4;5
Omnivorous;4;1;2;4;5
Flexitarian;3;3;1;3;5
Flexitarian;1;2;5;3;1
Flexitarian;2;2;5;5;3
Omnivorous;4;4;3;4;3
Flexitarian;3;2;4;4;3
Omnivorous;5;5;5;5;5
Flexitarian;4;2;1;2;4
Omnivorous;5;4;1;3;5
Omnivorous;4;3;2;3;4
Omnivorous;5;5;4;1;5
Flexitarian;2;2;5;5;1
Flexitarian;5;1;1;3;4
Flexitarian;4;3;4;5;4
Omnivorous;4;4;1;3;4
Omnivorous;5;4;3;4;3
Flexitarian;4;3;1;2;4
Flexitarian;4;1;4;5;5
Omnivorous;4;3;3;3;3
Flexitarian;4;2;2;5;4
Flexitarian;3;2;2;5;3
Flexitarian;3;2;3;5;3
Omnivorous;4;3;2;2;5
Omnivorous;4;3;2;2;5
Omnivorous;4;4;4;3;4
Vegetarian;1;3;5;4;2
Flexitarian;4;2;2;5;4
Flexitarian;4;3;4;5;4
Flexitarian;4;3;4;5;4
Flexitarian;2;4;2;4;4
Omnivorous;4;2;3;3;5
Flexitarian;2;4;1;4;4
Flexitarian;4;2;3;3;5
Vegetarian;3;1;5;4;1
Flexitarian;3;1;4;2;2
Flexitarian;4;3;3;3;4
Flexitarian;3;1;4;2;2
Flexitarian;3;3;3;3;3
Omnivorous;3;3;3;3;3
Vegetarian;2;2;4;4;3
Flexitarian;2;2;4;5;3
Flexitarian;3;2;2;2;3
Flexitarian;5;1;1;4;2
Omnivorous;4;4;3;2;4
Vegan;1;2;5;5;1
Flexitarian;4;4;4;3;5
Flexitarian;4;4;4;3;5
Flexitarian;3;3;3;3;3
Flexitarian;4;3;3;4;3
Flexitarian;3;3;4;3;3
Flexitarian;4;4;2;3;3
Flexitarian;5;4;2;5;3
Vegetarian;1;4;4;2;4
Vegetarian;2;4;4;4;1
Vegan;3;1;2;1;5
Flexitarian;4;4;2;3;4
Flexitarian;3;2;5;5;3
Flexitarian;3;2;5;5;1
Flexitarian;3;3;2;4;3
Flexitarian;4;1;4;2;4
Omnivorous;4;1;2;4;1
Vegetarian;2;1;3;3;2
Omnivorous;4;3;4;5;4
Flexitarian;4;4;3;3;4
Vegetarian;4;3;4;4;1
Flexitarian;4;3;5;5;4
Vegetarian;3;2;4;5;2
Flexitarian;2;2;2;4;4
Flexitarian;4;3;3;4;4
Flexitarian;4;2;2;4;3
Flexitarian;5;2;3;4;3
Omnivorous;4;3;4;3;3
Omnivorous;4;4;4;3;4
Omnivorous;4;4;4;4;4
Omnivorous;3;4;4;4;3
Flexitarian;2;3;3;1;5
Omnivorous;4;4;1;4;4
Omnivorous;4;2;1;4;3
Flexitarian;3;4;2;4;3
Flexitarian;3;4;2;3;3
Flexitarian;3;4;2;4;3
Omnivorous;2;4;4;3;4
Flexitarian;3;2;2;1;3
Omnivorous;3;4;1;4;3
Flexitarian;4;3;2;3;4
Flexitarian;2;4;1;3;3
Omnivorous;4;4;1;4;5
Omnivorous;4;4;1;4;5
Omnivorous;1;3;1;1;4
Omnivorous;4;4;1;4;4
Omnivorous;4;4;1;4;4
Omnivorous;4;4;2;1;4
Omnivorous;5;3;1;2;5
Omnivorous;5;4;2;3;5
Omnivorous;5;2;1;2;5
Flexitarian;4;3;5;4;4
Omnivorous;5;4;1;1;5
Omnivorous;4;4;1;1;4
Omnivorous;4;4;1;1;4
Flexitarian;1;4;5;2;1
Omnivorous;5;4;1;1;4
Flexitarian;1;4;5;3;1
Omnivorous;5;1;4;5;5
Omnivorous;4;3;2;4;5
Flexitarian;3;4;5;3;3
Omnivorous;3;3;3;5;5
Flexitarian;4;3;5;5;4
Flexitarian;3;4;2;3;3
Flexitarian;3;4;1;3;3
Omnivorous;5;4;2;4;3
Omnivorous;4;3;2;2;3
Omnivorous;3;3;3;3;3
Omnivorous;3;3;3;3;3
Flexitarian;3;4;3;2;3
Flexitarian;2;4;4;4;3
Omnivorous;5;4;3;2;5
Flexitarian;2;2;2;5;5
Vegetarian;1;1;4;4;4
Flexitarian;3;3;5;5;5
Flexitarian;3;3;4;3;4
Flexitarian;2;4;4;5;3
Omnivorous;5;5;5;5;5
Omnivorous;5;5;5;5;5
Flexitarian;4;1;3;4;3
Flexitarian;4;1;3;4;3
Omnivorous;3;3;3;3;3
Omnivorous;4;4;2;4;5
Omnivorous;3;3;3;3;3
Omnivorous;4;4;3;2;4
Omnivorous;5;3;4;4;4
Omnivorous;5;5;2;4;5
Flexitarian;4;2;4;4;4
Vegetarian;1;1;5;5;4
Flexitarian;1;5;5;5;4
Vegetarian;4;1;3;4;3
Vegetarian;1;2;5;5;3
Omnivorous;3;3;4;3;4
Omnivorous;5;3;1;1;5
Omnivorous;5;3;1;1;5
Flexitarian;3;1;5;4;4
Flexitarian;4;3;1;2;5
Omnivorous;4;5;4;4;5
Flexitarian;5;3;3;3;3
Omnivorous;4;4;1;1;5
Omnivorous;3;5;5;5;4
Flexitarian;4;2;3;3;4
Omnivorous;4;3;5;3;4
Flexitarian;4;4;5;4;4
Flexitarian;4;4;5;4;4
Flexitarian;2;2;4;4;3
Omnivorous;5;2;1;2;4
Flexitarian;3;2;4;3;2
Omnivorous;3;2;3;4;4
Omnivorous;2;1;5;4;4
Omnivorous;4;4;3;3;4
Omnivorous;5;1;5;4;5
Omnivorous;3;5;5;1;3
Vegan;4;2;4;4;3
Flexitarian;4;4;3;2;4
Omnivorous;3;3;5;3;3
Flexitarian;3;3;3;4;3
Flexitarian;3;3;3;4;4
Omnivorous;4;3;1;1;5
Vegan;1;1;5;5;1
Flexitarian;3;1;5;5;2
Flexitarian;4;4;1;4;5
Flexitarian;5;4;1;4;5
Flexitarian;4;4;5;5;4
Flexitarian;4;3;3;4;4
Flexitarian;4;4;1;1;5
Flexitarian;4;4;1;1;5
Omnivorous;3;3;4;3;3
Vegetarian;1;3;2;2;4
Omnivorous;4;4;3;4;5
Vegetarian;2;3;5;4;2
Omnivorous;4;3;5;3;3
Flexitarian;2;3;3;3;3
Flexitarian;4;4;5;5;4
Omnivorous;3;4;4;3;4
Omnivorous;5;3;4;4;5
Vegetarian;3;1;1;5;3
Flexitarian;2;4;5;4;2
Omnivorous;4;3;1;1;4
Flexitarian;4;5;5;5;3
Flexitarian;4;2;1;4;4
Flexitarian;4;4;4;5;4
Flexitarian;3;3;4;5;4
Flexitarian;2;3;4;4;3
Flexitarian;4;3;4;2;4
Omnivorous;4;2;3;2;4
Omnivorous;5;4;2;1;5
Flexitarian;4;4;3;4;3
Flexitarian;4;5;1;2;4
Flexitarian;4;5;2;4;4
Flexitarian;4;4;2;4;4
Flexitarian;4;4;3;3;3
Flexitarian;4;4;3;3;3
Flexitarian;4;4;2;3;3
Vegetarian;3;2;3;3;3
Omnivorous;5;5;3;4;5
Flexitarian;3;3;3;3;3
Flexitarian;4;3;2;3;4
Omnivorous;5;4;3;3;4
Flexitarian;3;4;2;2;4
Vegetarian;4;5;5;5;1
Flexitarian;3;2;3;4;2
Vegetarian;4;4;5;4;1
Flexitarian;5;3;2;1;3
Flexitarian;4;4;3;3;3
Vegetarian;5;4;1;3;1
Omnivorous;4;4;1;3;3
Omnivorous;4;4;1;3;3
Flexitarian;3;4;5;4;5
Flexitarian;4;4;2;4;4
Omnivorous;4;4;3;3;5
Omnivorous;3;3;2;2;4
Omnivorous;3;3;3;3;3
Omnivorous;4;3;3;4;3
Omnivorous;1;4;3;3;4
Flexitarian;5;4;1;2;3
Flexitarian;4;4;4;3;4
Omnivorous;4;3;3;3;4
Flexitarian;3;4;4;5;2
Flexitarian;3;4;2;2;3
Omnivorous;3;4;3;2;3
Flexitarian;2;4;4;2;4
Omnivorous;4;4;1;1;4
Omnivorous;5;5;1;2;5
Flexitarian;4;5;4;4;5
Flexitarian;4;3;4;5;4
Flexitarian;3;4;4;3;3
Flexitarian;2;2;5;5;4
Omnivorous;5;3;1;4;4
Omnivorous;5;3;3;3;3
Omnivorous;5;3;3;3;3
Flexitarian;3;4;4;4;4
Omnivorous;5;5;3;4;4
Flexitarian;3;4;4;4;4
Flexitarian;5;2;5;3;2
Vegetarian;5;5;3;2;3
Omnivorous;4;2;1;4;5
Flexitarian;4;4;5;5;3
Omnivorous;5;5;4;4;5
Omnivorous;5;4;1;2;5
Flexitarian;4;4;1;1;5
Flexitarian;4;4;5;5;4
Omnivorous;5;2;2;2;3
Omnivorous;5;4;3;4;5
Omnivorous;4;3;1;1;4
Omnivorous;2;4;2;4;3
Omnivorous;4;4;1;2;5
Omnivorous;4;3;1;1;3
Flexitarian;4;3;4;4;3
Omnivorous;4;1;3;1;2
Flexitarian;4;2;2;2;3
Flexitarian;4;2;2;2;3
Flexitarian;4;4;4;3;3
Vegetarian;2;3;4;3;1
Omnivorous;4;3;2;4;4
Flexitarian;1;1;4;5;3
Flexitarian;4;4;4;4;3
Flexitarian;4;1;1;4;5
Omnivorous;3;5;4;1;5
Flexitarian;5;2;3;3;5
Flexitarian;2;2;4;4;4
Vegetarian;2;1;5;5;4
Flexitarian;5;5;5;5;5
Flexitarian;5;4;2;4;4
Flexitarian;3;1;4;3;2
Omnivorous;3;3;3;2;5
Omnivorous;3;3;3;3;3
Omnivorous;4;4;3;2;4
Omnivorous;4;4;2;2;3
Omnivorous;4;2;2;2;4
Omnivorous;4;4;2;2;3
Flexitarian;5;3;2;4;5
Flexitarian;2;3;3;4;3
Flexitarian;4;3;3;3;4
Flexitarian;4;4;3;5;4
Flexitarian;4;3;2;3;3
Flexitarian;3;1;4;4;4
Omnivorous;5;4;4;4;5
Omnivorous;5;5;2;1;5
Omnivorous;4;4;2;2;2
Omnivorous;5;5;2;1;5
Omnivorous;4;4;2;2;2
Omnivorous;4;4;2;2;2
Omnivorous;4;4;2;2;2
Omnivorous;4;4;2;2;2
Omnivorous;4;4;2;2;2
Omnivorous;4;3;3;2;4
Omnivorous;4;3;3;3;4
Flexitarian;1;4;1;4;4
Vegetarian;2;1;1;4;3
Vegetarian;2;1;1;4;3
Flexitarian;4;4;5;4;3
Omnivorous;5;4;1;4;3
Omnivorous;5;4;3;5;5
Flexitarian;4;4;5;4;2
Flexitarian;3;2;2;4;4
Omnivorous;4;5;1;3;5
Flexitarian;4;3;4;5;4
Omnivorous;4;3;3;3;4
Flexitarian;4;2;1;5;5
Flexitarian;4;3;4;4;4
Flexitarian;3;1;4;5;3
Flexitarian;3;1;4;5;3
Flexitarian;3;4;5;5;3
Flexitarian;3;4;5;5;3
Flexitarian;5;4;5;5;5
Flexitarian;5;1;1;4;5
Flexitarian;4;3;4;4;4
Flexitarian;4;4;1;3;5
Omnivorous;5;4;4;3;4
Vegetarian;4;4;4;3;4
Flexitarian;4;4;5;4;2
Vegetarian;3;2;4;5;3
Flexitarian;4;4;3;5;3
Flexitarian;4;4;4;4;4
Vegetarian;2;1;5;5;1
Omnivorous;4;1;2;3;3
Flexitarian;5;4;2;4;4
Flexitarian;4;1;5;4;2
Flexitarian;1;2;5;4;2
Flexitarian;4;3;4;5;5
Flexitarian;3;3;5;5;3
Flexitarian;3;3;2;3;4
Vegetarian;2;1;4;5;3
Flexitarian;2;2;2;5;4
Omnivorous;5;4;3;4;5
Flexitarian;4;4;4;5;2
Omnivorous;5;4;2;3;2
Flexitarian;3;2;2;4;4
Flexitarian;4;4;1;2;4
Flexitarian;3;3;3;3;4
Flexitarian;1;3;4;5;2
Flexitarian;4;3;5;3;4
Flexitarian;4;3;5;3;4
Flexitarian;5;2;1;4;4
Omnivorous;5;4;3;4;4
Flexitarian;1;1;5;5;3
Flexitarian;4;5;3;4;4
Flexitarian;3;2;4;4;3
Omnivorous;4;3;1;4;5
Omnivorous;2;3;4;4;5
Omnivorous;2;3;4;4;5
Flexitarian;5;3;4;4;4
Vegetarian;1;2;3;3;1
Vegan;1;1;5;5;3
Vegan;1;1;5;5;1
Flexitarian;4;5;3;4;3
Flexitarian;3;3;4;3;3
Omnivorous;5;5;1;1;5
Flexitarian;4;2;4;2;4
Flexitarian;4;2;4;2;4
Omnivorous;4;3;2;3;4
Flexitarian;4;4;3;1;5
Flexitarian;4;3;1;3;4
Flexitarian;4;4;2;3;4
Flexitarian;4;1;2;3;5
Flexitarian;3;2;2;4;4
Flexitarian;4;4;5;5;5
Omnivorous;3;3;3;3;3
Omnivorous;5;5;2;4;5
Omnivorous;5;4;5;3;5
Omnivorous;4;4;3;4;4
Omnivorous;5;3;3;4;5
Flexitarian;4;3;2;4;2
Flexitarian;4;4;3;5;5
Omnivorous;5;2;1;2;5
Omnivorous;5;1;1;2;5
Omnivorous;5;3;4;1;5
Omnivorous;5;4;2;3;5
Omnivorous;5;4;2;3;5
Omnivorous;5;4;2;3;5
Omnivorous;5;4;2;3;5
Flexitarian;4;2;5;5;2
Omnivorous;4;5;2;3;4
Flexitarian;4;3;4;3;5
Omnivorous;4;5;1;3;5
Flexitarian;4;3;5;4;2
Flexitarian;4;3;4;4;4
Vegetarian;1;1;4;4;1
Omnivorous;5;4;1;1;4
Flexitarian;2;3;5;5;1
Flexitarian;5;4;4;5;5
Flexitarian;3;2;3;3;4
Flexitarian;3;2;3;2;5
Flexitarian;3;2;3;2;5
Flexitarian;2;3;3;3;3
Flexitarian;4;1;3;4;3
Flexitarian;4;4;4;4;4
Omnivorous;3;3;3;3;3
Vegetarian;3;2;5;5;4
Flexitarian;3;4;4;5;4
Omnivorous;4;4;3;4;4
Omnivorous;4;1;4;4;4
Flexitarian;4;3;4;5;4
Vegan;1;1;5;5;1
Omnivorous;4;3;1;3;4
Flexitarian;4;2;5;4;4
Omnivorous;5;4;3;3;4
Flexitarian;5;2;4;4;4
Flexitarian;4;4;2;3;4
Flexitarian;2;1;4;3;3
Omnivorous;4;3;4;3;4
Flexitarian;2;3;4;3;4
Flexitarian;2;2;4;5;3
Omnivorous;4;4;2;3;5
Flexitarian;3;3;5;5;3
Flexitarian;4;4;3;4;4
Vegetarian;2;3;5;5;1
Omnivorous;5;5;5;4;4
Omnivorous;2;1;4;4;3
Flexitarian;4;4;1;2;4
Flexitarian;3;3;3;3;3
Flexitarian;2;1;4;4;3
Omnivorous;3;2;3;3;3
Vegetarian;3;1;4;4;5
Omnivorous;4;4;4;4;4
Omnivorous;4;4;4;3;5
Flexitarian;2;1;4;4;2
Flexitarian;2;1;4;4;2
Flexitarian;3;3;4;4;4
Flexitarian;2;3;5;5;4
Flexitarian;4;3;2;4;3
Flexitarian;4;3;2;2;4
Flexitarian;3;3;4;3;4
Omnivorous;3;3;3;3;3
Omnivorous;3;4;1;1;3
Omnivorous;3;4;1;1;3
Vegetarian;1;1;3;5;2
Flexitarian;4;1;5;5;1
Omnivorous;5;3;1;1;4
Flexitarian;4;4;4;5;3
Omnivorous;1;5;1;2;5
Omnivorous;1;5;1;1;5
Flexitarian;2;3;3;3;4
Flexitarian;4;2;4;5;4
Flexitarian;4;3;1;3;4
Flexitarian;2;1;4;4;2
Omnivorous;3;4;3;4;4
Omnivorous;3;4;3;4;3
Omnivorous;4;4;3;1;4
Omnivorous;4;4;3;1;4
Omnivorous;4;5;4;2;4
Flexitarian;5;2;2;3;5
Flexitarian;5;2;2;3;5
Flexitarian;5;2;3;4;5
Flexitarian;3;2;3;5;3
Omnivorous;5;4;1;1;5
Flexitarian;4;2;3;3;4
Omnivorous;4;3;2;2;4
Flexitarian;4;4;3;4;3
Vegetarian;2;1;5;5;2
Omnivorous;3;4;3;3;4
Vegetarian;1;3;5;3;2
Vegetarian;1;3;5;3;2
Flexitarian;4;4;3;3;3
Flexitarian;4;4;4;4;4
Omnivorous;1;2;2;3;2
Flexitarian;2;1;4;5;3
Flexitarian;4;3;1;5;4
Omnivorous;4;4;2;3;4
Flexitarian;4;4;4;4;4
Omnivorous;5;5;1;1;4
Omnivorous;4;3;3;4;4
Omnivorous;4;3;4;5;3
Flexitarian;4;2;1;3;3
Omnivorous;3;5;3;2;5
Flexitarian;4;3;2;3;3
Omnivorous;1;4;5;4;3
Flexitarian;3;5;4;5;1
Omnivorous;1;3;5;4;4
Flexitarian;4;2;4;4;3
Flexitarian;4;4;4;4;4
Omnivorous;5;5;2;3;5
Flexitarian;5;3;1;4;5
Flexitarian;3;2;4;3;3
Omnivorous;2;3;3;4;2
Flexitarian;3;3;3;2;4
Vegetarian;4;4;3;3;4
Omnivorous;4;4;4;3;2
Omnivorous;5;4;2;4;4
Flexitarian;4;3;4;4;3
Flexitarian;5;4;3;3;5
Flexitarian;5;4;3;1;3
Omnivorous;2;2;1;2;3
Omnivorous;2;2;1;2;3
Omnivorous;2;2;1;2;3
Flexitarian;3;1;2;2;4
Omnivorous;4;4;1;1;2
Omnivorous;2;4;3;4;3
Omnivorous;4;4;4;4;4
Omnivorous;5;3;4;2;5
Flexitarian;4;4;1;4;4
Vegetarian;1;2;4;3;1
Vegetarian;1;1;5;5;1
Omnivorous;5;2;1;3;5
Flexitarian;4;1;4;3;3
Omnivorous;2;3;3;3;1
Flexitarian;1;1;2;1;5
Omnivorous;4;5;1;2;4
Omnivorous;4;4;3;3;3
Vegan;1;1;5;5;1
Omnivorous;4;4;5;3;4
Omnivorous;2;3;1;2;3
Omnivorous;3;4;3;2;3
Vegan;2;2;4;4;3
Flexitarian;2;2;4;5;3
Flexitarian;4;3;3;5;4
Flexitarian;4;3;3;4;2
Omnivorous;4;2;2;4;4
Vegan;5;4;4;3;4
Flexitarian;4;3;4;4;4
Omnivorous;5;5;1;2;5
Omnivorous;5;5;1;2;5
Flexitarian;5;1;5;1;5
Omnivorous;5;1;1;1;5
Flexitarian;2;2;2;2;2
Flexitarian;4;4;3;4;4
Flexitarian;4;4;5;5;4
Flexitarian;1;1;4;5;3
Flexitarian;2;1;4;4;4
Flexitarian;4;1;3;2;5
Vegetarian;4;1;5;5;3
Omnivorous;3;4;2;2;2
Vegetarian;4;1;3;4;4
Flexitarian;2;4;2;4;4
Flexitarian;2;4;2;4;4
Flexitarian;5;3;4;2;4
Omnivorous;5;4;4;4;4
Omnivorous;5;3;2;3;5
Flexitarian;4;2;1;5;3
Flexitarian;4;4;3;3;3
Omnivorous;3;4;3;2;4
